02/01/2013 10:42 | 7.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:42 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:42 | 7.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:43 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:43 | 7.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:53 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib/Resources\Entities\Annonce.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:55 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - require(../../lib/Resources\Entities\Annonce.php) [<a href='function.require'>function.require</a>]: failed to open stream: No such file or directory in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\ClassLoader.php on line 163
02/01/2013 10:55 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:55 | 7.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:57 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:57 | 7.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:58 | 3.25 mb | Front Office | Florian M. >> Notice : FwkErrorHandler 8 - Undefined variable: driverImpl in file C:\wamp\www\AstridV1\lib\Resources\bin\FwkLoader.php on line 35
02/01/2013 10:58 | 3.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - Undefined variable: driverImpl in file C:\wamp\www\AstridV1\lib\Resources\bin\FwkLoader.php on line 35
02/01/2013 10:58 | 7.25 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:58 | 7.25 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:58 | 7.5 mb | Front Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 10:58 | 7.5 mb | Front Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 11:04 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 11:04 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 11:04 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 11:04 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 11:05 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 11:05 | 7 mb | Back Office | Florian M. >> UNKNOWN : FwkErrorHandler 0 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
02/01/2013 11:05 | 7 mb | Back Office | Florian M. >> Warning : FwkErrorHandler 2 - class_parents() [<a href='function.class-parents'>function.class-parents</a>]: Class Resources\Entities\Admin does not exist and could not be loaded in file C:\wamp\www\AstridV1\lib\Resources\Doctrine\Doctrine\Common\Persistence\Mapping\RuntimeReflectionService.php on line 40
